zone_id,zone_name,elevation_m,distance_to_river_km,population,historical_flood_risk
rv-01,Riverside,2.5,0.3,4200,0.85
rv-02,Lowtown,4.0,0.5,3100,0.80
rv-03,Harbor District,6.0,0.2,5600,0.90
rv-04,Market Square,8.0,0.4,4900,0.60
rv-05,Station Quarter,5.0,0.6,2100,0.55
rv-06,Old Town,12.0,0.9,3800,0.50
rv-07,Northgate,15.0,1.2,2700,0.45
rv-08,Mill District,10.0,1.0,1500,0.40
rv-09,East Meadows,18.0,1.8,2400,0.35
rv-10,South Crossing,14.0,2.1,1900,0.30
rv-11,Hillcrest Ridge,95.0,5.2,6200,0.10
rv-12,High Plains,120.0,6.8,5100,0.05
rv-13,Oak Ridge Estates,85.0,4.5,3300,0.15
rv-14,Westview Heights,70.0,3.9,2800,0.12
rv-15,Red Bluff,110.0,7.5,1600,0.08
rv-16,Meadowbrook Farms,60.0,5.8,950,0.18
rv-17,Pinecrest,90.0,6.2,2100,0.07
rv-18,Brickyard Flats,22.0,2.8,3900,0.55
